actors,장르,점수별,인기별,리뷰수,작품수
Ahn Bo Hyun,Ahn Bo Hyun,8.190000000000001,542.9,17622.2,10
Ahn Chang Hwan,Ahn Chang Hwan,7.7,1066.0,3641.0,1
Ahn Do Kyu,Ahn Do Kyu,6.9,6524.0,375.0,1
Ahn Dong Goo,Ahn Dong Goo,8.8,1213.0,26020.0,2
Ahn Eun Jin,Ahn Eun Jin,7.725,2701.75,7286.5,4
Ahn Hae Sook,Ahn Hae Sook,6.8,10425.0,111.0,1
Ahn Hee Yeon,Ahn Hee Yeon,7.8,1191.6666666666667,3535.6666666666665,3
Ahn Hyo Seop,Ahn Hyo Seop,8.15,616.1428571428571,21456.5,7
Ahn Jae Hong,Ahn Jae Hong,8.5,176.5,30000.5,2
Ahn Jae Hyun,Ahn Jae Hyun,7.866666666666667,267.1666666666667,20618.0,6
Ahn Jae Min,Ahn Jae Min,7.3,8632.0,72.0,1
Ahn Jae Mo,Ahn Jae Mo,7.883333333333333,53980.0,72.5,6
Ahn Jae Wook,Ahn Jae Wook,7.733333333333334,20186.285714285717,2925.1666666666665,7
Ahn Ji Ho,Ahn Ji Ho,8.5,2174.5,3787.0,2
Ahn Jung Hoon,Ahn Jung Hoon,7.5,7146.0,196.0,1
Ahn Jung Hun,Ahn Jung Hun,7.5,2348.0,1200.0,1
Ahn Kil Kang,Ahn Kil Kang,7.639999999999999,2489.2,3574.8,5
Ahn Mi Na,Ahn Mi Na,7.4,4799.0,548.0,1
Ahn Nae Sang,Ahn Nae Sang,7.831249999999999,3387.5,3078.3125,16
Ahn Sang Tae,Ahn Sang Tae,7.1,5496.0,413.0,1
Ahn Se Ha,Ahn Se Ha,7.8199999999999985,1353.2,11782.8,5
Ahn Se Ho,Ahn Se Ho,8.4,614.0,5520.0,1
Ahn Seo Hyun,Ahn Seo Hyun,7.7,50469.0,2782.0,2
Ahn Seung Gyun,Ahn Seung Gyun,8.35,484.5,7021.0,2
Ahn So Hee,Ahn So Hee,8.233333333333333,733.6666666666666,6131.0,3
Ahn Suk Hwan,Ahn Suk Hwan,8.350000000000001,2054.0,14904.0,2
Ahn Sun Young,Ahn Sun Young,7.15,50948.0,1229.0,2
Ahn Woo Yeon,Ahn Woo Yeon,7.925000000000001,2593.25,3282.5,4
Ahn Yun Hong,Ahn Yun Hong,7.433333333333333,40883.333333333336,53.0,3
Andy,Andy,7.45,56300.5,47.0,2
Anupam Tripathi,Anupam Tripathi,8.5,31.0,62640.0,1
Aoora,Aoora,7.3,866.0,5653.0,1
Bae Da Bin,Bae Da Bin,8.05,1143.0,5273.0,2
