0,genre,score,popul,review,sum
action,action,7.957480314960627,4716.315789473684,9078.55905511811,133
adventure,adventure,7.771428571428571,2452.25,2727.8571428571427,8
business,business,7.638043478260871,3224.7741935483878,7608.445652173913,93
comedy,comedy,7.750323974082074,4390.841437632135,10955.306695464364,473
crime,crime,8.159090909090908,1469.872340425532,10031.181818181818,47
drama,drama,7.676526946107795,9830.141860465115,6454.494610778444,768
family,family,7.414705882352937,19641.88292682927,1512.1078431372548,205
fantasy,fantasy,7.899999999999999,3087.520833333333,12368.329670329673,96
food,food,7.485185185185184,2258.703703703704,5382.703703703704,27
friendship,friendship,7.776470588235293,7320.842105263157,10560.0,19
historical,historical,7.856153846153841,16996.159090909092,5204.884615384615,132
horror,horror,8.007692307692308,1144.962962962963,14883.0,27
law,law,7.99491525423729,3400.870967741936,7438.610169491525,62
life,life,7.9165605095541345,6913.93125,8479.878980891719,160
martial arts,martial arts,7.65,724.0,6012.0,2
mature,mature,7.45,3159.5,14286.5,2
medical,medical,7.8482142857142865,3824.767857142857,6230.178571428572,56
melodrama,melodrama,7.589818181818181,8148.10071942446,4823.272727272727,278
military,military,7.961538461538463,17510.0,10722.53846153846,14
music,music,7.590909090909093,1526.111111111111,9060.977272727272,45
mystery,mystery,7.945491803278689,2515.96062992126,6774.561475409836,254
political,political,7.9,9171.17741935484,4922.467741935484,62
psychological,psychological,8.091304347826087,1252.75,13924.260869565218,48
romance,romance,7.645717592592605,8729.379545454545,8184.52662037037,880
school,school,7.69375,7799.058823529412,6908.6875,17
sci-fi,sci-fi,8.01,3944.181818181818,14248.866666666669,33
sitcom,sitcom,7.760000000000001,17758.066666666666,1372.8666666666666,15
sports,sports,7.685714285714286,11320.363636363636,12305.380952380952,22
supernatural,supernatural,7.778313253012048,1389.178571428571,11850.843373493975,84
thriller,thriller,8.038219895287954,2473.575,8445.71727748691,200
tokusatsu,tokusatsu,6.5,99999.0,2.0,1
war,war,7.8,4217.25,782.75,4
youth,youth,7.921311475409836,4058.8,15495.0,65
