genre,gneres,sum
romance,romance,880
drama,drama,768
comedy,comedy,473
melodrama,melodrama,278
mystery,mystery,254
family,family,205
thriller,thriller,200
life,life,160
action,action,133
historical,historical,132
fantasy,fantasy,96
business,business,93
supernatural,supernatural,84
youth,youth,65
law,law,62
political,political,62
medical,medical,56
psychological,psychological,48
crime,crime,47
music,music,45
sci-fi,sci-fi,33
food,food,27
horror,horror,27
sports,sports,22
friendship,friendship,19
school,school,17
sitcom,sitcom,15
military,military,14
adventure,adventure,8
war,war,4
mature,mature,2
martial arts,martial arts,2
tokusatsu,tokusatsu,1
