genre,0
historical,historical
comedy,comedy
romance,romance
drama,drama
life,life
food,food
family,family
fantasy,fantasy
thriller,thriller
mystery,mystery
military,military
political,political
sci-fi,sci-fi
action,action
horror,horror
supernatural,supernatural
psychological,psychological
medical,medical
melodrama,melodrama
youth,youth
crime,crime
business,business
law,law
friendship,friendship
school,school
music,music
sports,sports
adventure,adventure
war,war
tokusatsu,tokusatsu
sitcom,sitcom
martial arts,martial arts
mature,mature
