index,플랫폼,점수별,인기별,리뷰수,작품수
Apple TV,Apple TV,8.104697986577179,672.489932885906,22186.55033557047,149
AsianCrush,AsianCrush,7.66923076923077,1851.8461538461538,13771.692307692309,13
China Huace TV,China Huace TV,8.7,22.0,43265.0,1
Disney+,Disney+,8.229729729729732,722.2972972972973,12979.45945945946,5
Disney+ Hotstar,Disney+ Hotstar,,,,36
Hulu,Hulu,8.193750000000001,286.75,30391.8125,16
K-DRAMA,K-DRAMA,8.125000000000002,759.8166666666667,15584.983333333334,60
KBS Drama,KBS Drama,7.657142857142857,16809.25,1524.142857142857,2
KBS Drama Classic,KBS Drama Classic,7.639999999999999,20855.166666666668,1418.2,6
KBS World,KBS World,7.424615384615385,5694.476923076923,2679.9692307692308,65
KOK TV,KOK TV,8.3,306.0,15543.0,1
Kakao TV,Kakao TV,7.799999999999999,1180.142857142857,6372.857142857143,7
LDF,LDF,6.9,216.0,18317.0,1
LINE TV,LINE TV,7.7,156.0,23607.0,1
Lululala Story Lab,Lululala Story Lab,7.4,6080.0,265.0,1
Netflix,Netflix,8.07596566523605,712.620253164557,15763.098712446352,237
PlayList Global,PlayList Global,7.925,1722.5,4070.75,4
Prime Video,Prime Video,8.089130434782609,1581.9782608695652,13362.5,46
SBS VOD,SBS VOD,7.981249999999999,14130.6875,13602.8125,16
SBS World,SBS World,7.632307692307693,1585.1538461538462,5607.923076923077,65
TVING,TVING,8.205405405405408,887.2972972972973,10204.783783783783,37
Tooniverse,Tooniverse,7.3,662.0,9117.0,1
Tubi,Tubi,7.785714285714285,617.4285714285714,22888.714285714286,7
Viki,Viki,7.832538330494045,1480.2725724020443,10147.621805792163,587
Wavve,Wavve,8.3,1245.2,6151.8,5
WeTV,WeTV,8.186086956521738,433.4869565217391,23266.06086956522,115
iWant TFC,iWant TFC,7.980000000000001,627.0,27180.6,5
iflix,iflix,8.231818181818182,237.3181818181818,37173.86363636364,22
볼수없음,볼수없음,7.3940191387559855,25023.451327433628,1181.6674641148325,452
옛드 : 옛날 드라마 [드라맛집],옛드 : 옛날 드라마 [드라맛집],,,,2
