actor,cast,Popul,score
Ahn Bo Hyun,10,542.9,8.190000000000001
Ahn Chang Hwan,1,1066.0,7.7
Ahn Do Kyu,1,6524.0,6.9
Ahn Dong Goo,2,1213.0,8.8
Ahn Eun Jin,4,2701.75,7.725
Ahn Hae Sook,1,10425.0,6.8
Ahn Hee Yeon,3,1191.6666666666667,7.8
Ahn Hyo Seop,7,616.1428571428571,8.15
Ahn Jae Hong,2,176.5,8.5
Ahn Jae Hyun,6,267.1666666666667,7.866666666666667
Ahn Jae Min,1,8632.0,7.3
Ahn Jae Mo,6,53980.0,7.883333333333333
Ahn Jae Wook,7,20186.285714285714,7.733333333333334
Ahn Ji Ho,2,2174.5,8.5
Ahn Jung Hoon,1,7146.0,7.5
Ahn Jung Hun,1,2348.0,7.5
Ahn Kil Kang,5,2489.2,7.639999999999999
Ahn Mi Na,1,4799.0,7.4
Ahn Nae Sang,16,3387.5,7.831249999999999
Ahn Sang Tae,1,5496.0,7.1
Ahn Se Ha,5,1353.2,7.8199999999999985
Ahn Se Ho,1,614.0,8.4
Ahn Seo Hyun,2,50469.0,7.7
Ahn Seung Gyun,2,484.5,8.35
Ahn So Hee,3,733.6666666666666,8.233333333333333
Ahn Suk Hwan,2,2054.0,8.350000000000001
Ahn Sun Young,2,50948.0,7.15
Ahn Woo Yeon,4,2593.25,7.925000000000001
Ahn Yun Hong,3,40883.333333333336,7.433333333333333
Andy,2,56300.5,7.45
Anupam Tripathi,1,31.0,8.5
Aoora,1,866.0,7.3
Bae Da Bin,2,1143.0,8.05
Bae Doo Na,8,3669.625,7.800000000000001
Bae Geu Rin,2,6934.5,7.4
Bae Hae Seon,3,350.0,8.133333333333335
Bae Hyun Sung,1,606.0,8.1
Bae In Hyuk,6,1783.1666666666667,8.3
Bae Jong Ok,14,18102.428571428572,7.535714285714286
Bae Jung Nam,2,2433.5,7.1
Bae Min Hee,1,5035.0,7.1
Bae Min Jung,1,781.0,7.5
Bae Seul Gi,1,9702.0,7.3
Bae So Young,1,808.0,7.2
Bae Soo Bin,6,18890.166666666668,7.333333333333335
Bae Sung Woo,2,2421.0,8.2
Bae Suzy,6,316.8333333333333,7.983333333333334
Bae Yong Joon,4,76156.75,7.375
Bae Yoo Ram,1,2691.0,7.4
Bae Yoon Kyung,1,270.0,8.3
Baek  Yoon Shik,1,79.0,8.5
Baek Bo Ram,1,7973.0,7.2
Baek Chul Min,1,1076.0,7.5
Baek Eun Hye,2,3645.0,8.15
Baek Hyun Jin,2,157.5,8.45
Baek Il Sub,5,62270.4,7.38
Baek Ji Won,3,2262.3333333333335,8.066666666666666
Baek Jin Hee,9,1524.888888888889,7.655555555555556
Baek Jong Min,1,7323.0,7.5
Baek Jong Won,1,1200.0,7.3
Baek Min Hyun,2,7598.5,7.550000000000001
Baek Ok Dam,1,8406.0,7.4
Baek Seo Hoo,2,456.0,7.9
Baek Seung Do,1,12811.0,6.9
Baek Seung Hee,3,37452.333333333336,7.449999999999999
Baek Seung Heon,2,61.0,7.6
Baek Soo Min,1,580.0,7.4
Baek Sung Chul,2,1150.0,7.6
Baek Sung Hyun,4,2842.75,7.7
Baek Ye Bin,1,9188.0,6.9
Baek Young Kwang,1,3246.0,7.2
Ban Hyo Jung,4,76320.25,7.85
Ban Min Jung,1,3415.0,7.7
Ban So Young,1,9306.0,7.6
Bang Eun Hee,3,36212.333333333336,7.25
Bang Min Ah,3,1204.6666666666667,7.5
Baro,7,2230.5714285714284,7.628571428571429
Bona,2,1195.0,8.0
Bong Tae Kyu,4,26444.25,7.875
Brian Joo,1,99999.0,7.3
Bu Bae,3,9298.666666666666,7.166666666666667
Byeon Woo Seok,3,652.0,7.666666666666667
Byun Baek Hyun,2,86.0,8.2
Byun Hee Bong,7,33428.71428571428,7.757142857142857
Byun Jung Soo,3,2441.0,7.2
Byun Woo Min,2,51589.0,7.449999999999999
Byun Yo Han,4,389.75,8.5
CNU,1,4375.0,7.8
Cha Chung Hwa,2,4163.5,7.65
Cha Do Jin,3,40309.0,7.2
Cha Eun Woo,6,515.3333333333334,8.040000000000001
Cha Hak Yeon,6,1424.3333333333333,7.949999999999999
Cha Hwa Yun,6,19498.5,7.983333333333333
Cha Hyun Jung,1,99999.0,6.6
Cha In Ha,1,290.0,7.8
Cha In Pyo,6,53527.666666666664,7.266666666666667
Cha Jae Hoon,1,241.0,8.2
Cha Ji Yeon,2,837.5,8.45
Cha Joo Ok,1,99999.0,7.4
Cha Joo Young,2,1314.5,7.85
Cha Jung Won,2,1613.0,7.75
Cha Kwang Soo,3,4423.0,7.7
Cha Min Ji,3,4325.666666666667,7.533333333333334
Cha Seo Won,4,5515.25,7.375
Cha Seung Won,7,1670.2857142857142,8.028571428571428
Cha Shi Won,1,235.0,8.6
Cha Soo Yeon,1,360.0,8.3
Cha Soon Bae,1,8010.0,
Cha Tae Hyun,6,17485.0,7.783333333333332
Cha Ye Ryun,7,17053.285714285714,7.328571428571429
Chae Gook Hee,1,213.0,8.5
Chae Jong Hyeop,4,395.0,7.949999999999999
Chae Jung An,13,9621.538461538461,7.646153846153846
Chae Min Seo,1,99999.0,7.4
Chae Rim,6,23113.666666666668,7.616666666666667
Chae Sang Woo,2,3405.5,7.65
Chae Seo Jin,3,1764.6666666666667,7.3999999999999995
Chae Shi Ra,8,16822.25,7.612500000000001
Chae So Young,2,7374.0,7.0
Chae Soo Bin,8,720.375,8.1
Chang Jo,1,1982.0,7.1
Chang Ryul,1,115.0,8.7
Chani,1,332.0,8.1
Cheon Seung Ho,1,158.0,8.1
Cho Byeong Kyu,4,1930.75,8.5
Cho Hye Jin,1,12811.0,6.9
Cho Hye Jung,2,555.0,8.100000000000001
Cho Mi Yeon,3,3137.6666666666665,7.333333333333333
Cho Seung Woo,5,1070.2,8.18
Cho Yeo Jung,9,2206.777777777778,7.588888888888889
