tag,0
amnesia,amnesia
hidden identity,hidden identity
marriage of convenience,marriage of convenience
joseon dynasty,joseon dynasty
fake marriage,fake marriage
eccentric male lead,eccentric male lead
hardworking female lead,hardworking female lead
double identity,double identity
strong female lead,strong female lead
riches to rags ,riches to rags 
writer female lead ,writer female lead 
unexpected pregnancy,unexpected pregnancy
miscarriage,miscarriage
teenage pregnancy,teenage pregnancy
pregnancy,pregnancy
high school to working life,high school to working life
rags to riches,rags to riches
high school,high school
rich male lead,rich male lead
first love,first love
soap opera ,soap opera 
second chance,second chance
father-son relationship,father-son relationship
divorce,divorce
father-daughter relationship,father-daughter relationship
mother-daughter relationship,mother-daughter relationship
school,school
becoming young,becoming young
school bullying ,school bullying 
time travel,time travel
nice male lead,nice male lead
suspense,suspense
murder,murder
fate,fate
supernatural,supernatural
lying,lying
bromance,bromance
strong male lead ,strong male lead 
manager supporting character,manager supporting character
single father,single father
widower,widower
entrepreneur,entrepreneur
wrongfully accused,wrongfully accused
accident,accident
poor female lead,poor female lead
corruption,corruption
cohabitation ,cohabitation 
massacre,massacre
gwangju uprising,gwangju uprising
death,death
based on true story ,based on true story 
reverse-harem,reverse-harem
miniseries,miniseries
web series,web series
advertisement,advertisement
male chases female first,male chases female first
short length series,short length series
time altering,time altering
multiple mains,multiple mains
"""childhood friends' relationship ""","""childhood friends' relationship """
national intelligence service,national intelligence service
rivals to lovers,rivals to lovers
spy,spy
rich male lead ,rich male lead 
ghost-seeing male lead,ghost-seeing male lead
ghost,ghost
investigation,investigation
workplace setting,workplace setting
customer service staff,customer service staff
workplace abuse,workplace abuse
death ,death 
antisocial personality disorder,antisocial personality disorder
emotional blunting,emotional blunting
cold man/warm woman,cold man/warm woman
slow burn romance,slow burn romance
character development,character development
neurosurgeon male lead,neurosurgeon male lead
hospital setting ,hospital setting 
soap opera,soap opera
revenge,revenge
cold female lead,cold female lead
warm man/cold woman,warm man/cold woman
independent female lead,independent female lead
strict father,strict father
selfish mother,selfish mother
supportive father-in-law,supportive father-in-law
smart female lead ,smart female lead 
adult romance,adult romance
friendship,friendship
age gap [drama life],age gap [drama life]
age gap [real life],age gap [real life]
male centered plot,male centered plot
dissociative amnesia,dissociative amnesia
mental illness,mental illness
love at first sight ,love at first sight 
tragic past,tragic past
prosopagnosia,prosopagnosia
female chases male first,female chases male first
synesthesia,synesthesia
special power,special power
orphan female lead,orphan female lead
psychopath,psychopath
strong female lead ,strong female lead 
marriage,marriage
love triangle ,love triangle 
married couple,married couple
food ,food 
ghost-seeing female lead,ghost-seeing female lead
supernatural power,supernatural power
demon,demon
steamy kiss,steamy kiss
aggressive male lead,aggressive male lead
tough male lead,tough male lead
love/hate relationship,love/hate relationship
bromance ,bromance 
,
unrequited love,unrequited love
doctor male lead,doctor male lead
height difference,height difference
bright female lead,bright female lead
adapted from a novel,adapted from a novel
love triangle,love triangle
smart male lead,smart male lead
high school ,high school 
professor male lead,professor male lead
gun violence,gun violence
drug usage,drug usage
bankruptcy,bankruptcy
organized crime,organized crime
secret,secret
miniseries ,miniseries 
lawyer male lead,lawyer male lead
slight romance,slight romance
amnesia ,amnesia 
healing,healing
depression,depression
artificial intelligence,artificial intelligence
insomnia,insomnia
secret crush,secret crush
trauma,trauma
music ,music 
car accident,car accident
orphan male lead,orphan male lead
birth secret,birth secret
switched at birth,switched at birth
jealousy,jealousy
corruption ,corruption 
hardship,hardship
"""brothers' relationship""","""brothers' relationship"""
punishment,punishment
hatred,hatred
break up,break up
nice female lead,nice female lead
grandma-grandson relationship,grandma-grandson relationship
repentance,repentance
chairman,chairman
news media ,news media 
poetry,poetry
strong male lead,strong male lead
hardworking male lead,hardworking male lead
tough male lead ,tough male lead 
gore,gore
extreme violence,extreme violence
firefighter male lead,firefighter male lead
