tags,tag,score,Popularity,review,sum
,,7.698950766747372,10206.134585289516,7034.28813559322,85
"""alzheimer's disease""","""alzheimer's disease""",7.859999999999999,2644.6,1237.2,5
"""best friends' relationship ""","""best friends' relationship """,7.5,1882.0,2544.5,2
"""best friends' relationship""","""best friends' relationship""",7.766666666666667,2165.3846153846152,5703.583333333333,13
"""brothers' relationship""","""brothers' relationship""",7.574999999999999,9012.0625,1254.4375,16
"""childhood friends' relationship ""","""childhood friends' relationship """,7.640000000000001,1224.6,9973.8,5
"""childhood friends' relationship""","""childhood friends' relationship""",7.532432432432435,2364.7297297297296,3044.5945945945946,37
"""classmates' relationship""","""classmates' relationship""",8.05,1249.0,11612.0,2
"""co-workers' relationship""","""co-workers' relationship""",7.757142857142857,1653.571428571429,2288.285714285714,7
"""coup d'etat""","""coup d'etat""",7.65,9424.0,88.0,2
"""emperor's physician""","""emperor's physician""",7.9,9959.0,143.0,1
"""girls' generation (snsd)""","""girls' generation (snsd)""",,,,1
"""half-brothers' relationship""","""half-brothers' relationship""",8.3,1225.0,3306.0,1
"""half-sisters' relationship""","""half-sisters' relationship""",8.3,1225.0,3306.0,1
"""housemates' relationship ""","""housemates' relationship """,7.9,1082.0,2908.0,1
"""housemates' relationship""","""housemates' relationship""",7.557142857142857,15283.57142857143,5255.714285714285,7
"""neighbors' relationship ""","""neighbors' relationship """,7.5,3257.0,451.0,1
"""neighbors' relationship""","""neighbors' relationship""",7.7428571428571455,1693.142857142857,7406.857142857143,14
"""roommates' relationship ""","""roommates' relationship """,7.8,316.0,11137.0,1
"""roommates' relationship""","""roommates' relationship""",7.44,1008.8,9514.8,5
"""school friends' relationship ""","""school friends' relationship """,6.9,9188.0,115.0,1
"""school friends' relationship""","""school friends' relationship""",7.3,3177.0,1063.0,1
"""sisters' relationship ""","""sisters' relationship """,7.7,3197.0,912.0,1
"""sisters' relationship""","""sisters' relationship""",7.32142857142857,10920.733333333334,1050.142857142857,15
"""stepbrothers' relationship""","""stepbrothers' relationship""",7.6,3552.0,638.0,1
"""stepsisters' relationship ""","""stepsisters' relationship """,8.3,1225.0,3306.0,1
"""stepsisters' relationship""","""stepsisters' relationship""",7.550000000000001,5647.5,1032.5,2
